2024-12-05 12:08:30,769 - INFO - hi
2024-12-05 12:08:35,174 - INFO - ====== 1 DATA INSERTED ====== {'URL': 'https://timesofindia.indiatimes.com/sports/cricket/news/broadcaster-note-conveys-clarity-in-numbers-as-icc-members-mull-champions-trophy-fate/articleshow/115994516.cms', 'Title': 'No Title'}
2024-12-05 12:08:35,179 - INFO - ====== 2 DATA INSERTED ====== {'URL': 'https://timesofindia.indiatimes.com/sports/cricket/india-in-australia/play-your-best-spinner-wasim-jaffers-advice-to-team-india-ahead-of-pink-ball-adelaide-test/articleshow/115995329.cms', 'Title': 'No Title'}
2024-12-05 12:08:35,199 - INFO - ====== 3 DATA INSERTED ====== {'URL': 'https://timesofindia.indiatimes.com/sports/cricket/india-in-australia/pat-cummins-targets-border-gavaskar-trophy-as-one-last-thing-to-tick-off/articleshow/115994675.cms', 'Title': 'No Title'}
2024-12-05 12:08:35,210 - INFO - ====== 4 DATA INSERTED ====== {'URL': 'https://timesofindia.indiatimes.com/sports/cricket/india-in-australia/border-gavaskar-trophy-scott-boland-named-in-australia-xi-for-second-test-vs-india/articleshow/115991412.cms', 'Title': 'No Title'}
2024-12-05 12:08:35,226 - INFO - ====== 5 DATA INSERTED ====== {'URL': 'https://timesofindia.indiatimes.com/sports/cricket/news/baroda-make-history-smash-the-highest-ever-total-in-t20-cricket/articleshow/115993573.cms', 'Title': 'No Title'}
2024-12-05 12:08:35,238 - INFO - ====== 6 DATA INSERTED ====== {'URL': 'https://timesofindia.indiatimes.com/sports/cricket/india-women-vs-australia-women-live-score-today-ind-w-vs-aus-w-1st-odi-scorecard-updates/liveblog/115992136.cms', 'Title': 'No Title'}
2024-12-05 12:08:35,249 - INFO - ====== 7 DATA INSERTED ====== {'URL': 'https://timesofindia.indiatimes.com/sports/cricket/india-in-australia/watch-adam-gilchrist-hails-yashasvi-jaiswal-compares-him-to-virat-kohli/articleshow/115994347.cms', 'Title': 'No Title'}
2024-12-05 12:08:35,260 - INFO - ====== 8 DATA INSERTED ====== {'URL': 'https://timesofindia.indiatimes.com/sports/cricket/india-in-australia/play-your-best-spinner-wasim-jaffers-advice-to-team-india-ahead-of-pink-ball-adelaide-test/articleshow/115995329.cms', 'Title': 'No Title'}
2024-12-05 12:08:35,270 - INFO - ====== 9 DATA INSERTED ====== {'URL': 'https://timesofindia.indiatimes.com/sports/cricket/news/baroda-make-history-smash-the-highest-ever-total-in-t20-cricket/articleshow/115993573.cms', 'Title': 'Baroda make history, smash the highest ever total in T20 cricket'}
2024-12-05 12:08:35,286 - INFO - ====== 10 DATA INSERTED ====== {'URL': 'https://timesofindia.indiatimes.com/sports/cricket/news/bccis-hunt-for-jay-shahs-successor-hits-roadblock/articleshow/115993566.cms', 'Title': "BCCI's hunt for Jay Shah's successor hits roadblock"}
